iter	Passed	Remaining
425	2156	2906
426	2162	2901
427	2168	2898
428	2175	2895
429	2184	2896
430	2191	2892
431	2195	2886
432	2201	2882
433	2207	2879
434	2213	2874
435	2218	2869
436	2224	2865
437	2230	2861
438	2235	2857
439	2240	2851
440	2245	2846
441	2250	2841
442	2255	2836
443	2261	2832
444	2267	2827
445	2272	2822
446	2277	2818
447	2284	2814
448	2290	2810
449	2295	2805
450	2302	2802
451	2307	2797
452	2312	2792
453	2317	2787
454	2322	2781
455	2326	2775
456	2333	2772
457	2337	2766
458	2343	2762
459	2349	2757
460	2355	2753
461	2360	2748
462	2365	2743
463	2372	2740
464	2376	2734
465	2382	2730
466	2386	2724
467	2391	2718
468	2396	2713
469	2400	2706
470	2406	2702
471	2411	2697
472	2416	2692
473	2422	2687
474	2428	2683
475	2433	2678
476	2438	2673
477	2444	2669
478	2450	2665
479	2456	2661
480	2461	2656
481	2466	2650
482	2472	2646
483	2476	2639
484	2480	2634
485	2486	2629
486	2491	2624
487	2497	2620
488	2503	2615
489	2508	2610
490	2514	2606
491	2518	2600
492	2524	2596
493	2529	2590
494	2535	2586
495	2540	2581
496	2545	2576
497	2550	2571
498	2556	2567
499	2562	2562
500	2567	2557
501	2573	2552
502	2580	2549
503	2585	2544
504	2591	2540
505	2597	2535
506	2603	2531
507	2609	2526
508	2614	2522
509	2620	2518
510	2627	2514
511	2632	2508
512	2638	2504
513	2643	2499
514	2649	2494
515	2654	2490
516	2661	2486
517	2667	2482
518	2672	2477
519	2679	2473
520	2684	2468
521	2690	2463
522	2695	2458
523	2701	2453
524	2707	2449
525	2712	2444
526	2717	2439
527	2722	2433
528	2727	2428
529	2733	2423
530	2739	2419
531	2744	2414
532	2750	2409
533	2755	2404
534	2761	2400
535	2766	2395
536	2773	2391
537	2778	2385
538	2784	2381
539	2791	2377
540	2796	2372
541	2802	2368
542	2807	2363
543	2814	2359
544	2819	2354
545	2826	2350
546	2832	2345
547	2836	2339
548	2843	2336
549	2850	2332
550	2855	2327
551	2861	2322
552	2867	2317
553	2873	2313
554	2880	2309
555	2885	2304
556	2890	2298
557	2894	2293
558	2901	2288
559	2907	2284
560	2914	2280
561	2919	2275
562	2925	2270
563	2930	2265
564	2936	2260
565	2942	2256
566	2947	2250
567	2953	2246
568	2959	2241
569	2962	2235
570	2968	2230
571	2974	2225
572	2980	2221
573	2986	2216
574	2992	2211
575	2997	2206
576	3003	2201
577	3008	2196
578	3014	2191
579	3017	2185
580	3022	2179
581	3027	2174
582	3032	2168
583	3037	2163
584	3044	2160
585	3050	2154
586	3055	2149
587	3061	2145
588	3067	2140
589	3073	2135
590	3079	2130
591	3086	2127
592	3091	2121
593	3096	2116
594	3102	2111
595	3108	2107
596	3114	2102
597	3120	2097
598	3126	2092
599	3131	2087
600	3136	2082
601	3143	2077
602	3148	2072
603	3153	2067
604	3158	2062
605	3165	2057
606	3170	2052
607	3176	2048
608	3181	2042
609	3186	2037
610	3191	2031
611	3197	2027
612	3203	2022
613	3209	2017
614	3215	2012
615	3220	2007
616	3226	2003
617	3231	1997
618	3238	1993
619	3244	1988
620	3251	1984
621	3257	1979
622	3263	1975
623	3269	1969
624	3275	1965
625	3280	1959
626	3285	1954
627	3292	1950
628	3297	1945
629	3303	1940
630	3309	1935
631	3315	1930
632	3322	1926
633	3328	1921
634	3333	1916
635	3339	1911
636	3346	1907
637	3352	1902
638	3359	1897
639	3364	1892
640	3369	1887
641	3375	1882
642	3381	1877
643	3387	1872
644	3393	1867
645	3398	1862
646	3404	1857
647	3410	1852
648	3418	1848
649	3421	1842
650	3427	1837
651	3432	1832
652	3438	1827
653	3444	1822
654	3450	1817
655	3456	1812
656	3460	1806
657	3464	1800
658	3471	1796
659	3477	1791
660	3484	1786
661	3488	1781
662	3495	1776
663	3501	1771
664	3510	1768
665	3516	1763
666	3522	1758
667	3528	1753
668	3535	1749
669	3541	1744
670	3551	1741
671	3557	1736
672	3563	1731
673	3571	1727
674	3577	1722
675	3583	1717
676	3589	1712
677	3593	1706
678	3599	1701
679	3606	1697
680	3612	1692
681	3618	1686
682	3623	1681
683	3629	1676
684	3634	1671
685	3642	1667
686	3648	1662
687	3654	1657
688	3660	1652
689	3666	1647
690	3672	1642
691	3678	1637
692	3683	1631
693	3689	1626
694	3695	1621
695	3700	1616
696	3707	1611
697	3715	1607
698	3721	1602
699	3726	1596
700	3732	1591
701	3738	1586
702	3743	1581
703	3749	1576
704	3755	1571
705	3760	1566
706	3767	1561
707	3774	1556
708	3780	1551
709	3785	1546
710	3792	1541
711	3798	1536
712	3805	1531
713	3810	1526
714	3816	1521
715	3821	1515
716	3827	1510
717	3834	1505
718	3840	1500
719	3844	1495
720	3850	1490
721	3855	1484
722	3861	1479
723	3869	1474
724	3874	1469
725	3880	1464
726	3886	1459
727	3892	1454
728	3898	1449
729	3904	1444
730	3911	1439
731	3917	1434
732	3923	1429
733	3927	1423
734	3934	1418
