iter	RMSE
209	7.178196144
210	7.177236876
211	7.176341284
212	7.174581125
213	7.171452755
214	7.169905526
215	7.168858232
216	7.167950916
217	7.167024253
218	7.166146313
219	7.164854101
220	7.163951266
221	7.163015386
222	7.159996946
223	7.157947609
224	7.156923942
225	7.156301051
226	7.155470992
227	7.154127331
228	7.152142362
229	7.151357009
230	7.149752822
231	7.148519201
232	7.147367154
233	7.146290077
234	7.145487276
235	7.144633498
236	7.143061472
237	7.141557328
238	7.140327629
239	7.139172082
240	7.137541805
241	7.13621499
242	7.134626557
243	7.133423696
244	7.132555401
245	7.131697872
246	7.131015581
247	7.13007025
248	7.128178894
249	7.127385582
250	7.126462303
251	7.125560823
252	7.124559699
253	7.123911119
254	7.123300856
255	7.122800367
256	7.122137794
257	7.120819141
258	7.120185842
259	7.118102814
260	7.117105094
261	7.116421341
262	7.115557832
263	7.114509964
264	7.113842076
265	7.112971069
266	7.112211401
267	7.111258614
268	7.110344999
269	7.107885915
270	7.106709707
271	7.105632671
272	7.104717343
273	7.103944518
274	7.103441972
275	7.101341336
276	7.100685868
277	7.099583776
278	7.098896422
279	7.098299168
280	7.097805773
281	7.097157866
282	7.096364249
283	7.094179004
284	7.093618671
285	7.092778271
286	7.092079835
287	7.091362113
288	7.090588412
289	7.088364282
290	7.088014731
291	7.087580728
292	7.086929559
293	7.086339055
294	7.085444558
295	7.084536409
296	7.083096561
297	7.082534519
298	7.081998639
299	7.081659502
300	7.079340171
301	7.078904012
302	7.078297536
303	7.076071186
304	7.075314407
305	7.074648453
306	7.072658669
307	7.071688321
308	7.070922161
309	7.070203311
310	7.069443631
311	7.065834129
312	7.064851026
313	7.063289638
314	7.062373918
315	7.061390633
316	7.060706722
317	7.060203372
318	7.05949448
319	7.058513028
320	7.057767603
321	7.056540194
322	7.055355148
323	7.054880985
324	7.054015289
325	7.053575138
326	7.052380227
327	7.051335617
328	7.051081884
329	7.050267146
330	7.049303816
331	7.048684248
332	7.048215042
333	7.045847601
334	7.045357724
335	7.044961841
336	7.043790629
337	7.042985542
338	7.042814502
339	7.042225776
340	7.041737398
341	7.039997322
342	7.038151391
343	7.037481898
344	7.036099949
345	7.035653622
346	7.035289906
347	7.033467981
348	7.033148113
349	7.032672746
350	7.032631082
351	7.031978496
352	7.031272118
353	7.030499536
354	7.029730663
355	7.029123745
356	7.027830738
357	7.02688026
358	7.025326032
359	7.02481539
360	7.024412539
361	7.023781519
362	7.023397236
363	7.02265519
364	7.022383576
365	7.020947456
366	7.020490932
367	7.020110517
368	7.01976199
369	7.018971524
370	7.018157885
371	7.017157432
372	7.016468161
373	7.015106605
374	7.014585524
375	7.013838058
376	7.01175429
377	7.011332521
378	7.010766353
379	7.010140645
380	7.008473311
381	7.007705288
382	7.006624541
383	7.0060534
384	7.004644405
385	7.003869059
386	7.002349572
387	7.001795591
388	7.001527705
389	7.001227752
390	7.00040611
391	6.999903758
392	6.99945283
393	6.997529435
394	6.996817411
395	6.996291835
396	6.994789102
397	6.994266633
398	6.993677153
399	6.993251375
400	6.992070304
401	6.991404729
402	6.990481022
403	6.989375472
404	6.988877697
405	6.987871185
406	6.987035452
407	6.986687126
408	6.985995571
409	6.984887058
410	6.98364581
411	6.982920408
412	6.982447579
413	6.981973998
414	6.981370856
415	6.98079344
416	6.980373693
417	6.979392521
418	6.978999829
419	6.978157291
420	6.977743751
421	6.976274179
422	6.975634132
423	6.97524307
424	6.972992159
425	6.972425663
426	6.971890894
427	6.971344929
428	6.970213976
429	6.96991764
430	6.969280102
431	6.968752336
432	6.968502926
433	6.967934239
434	6.967286608
435	6.966456972
436	6.96607213
437	6.965553657
438	6.964151411
439	6.962906911
440	6.962248527
441	6.961428783
442	6.960361167
443	6.959860976
444	6.959110394
445	6.958832088
446	6.958333894
447	6.95777916
448	6.957182471
449	6.955852471
450	6.955406714
451	6.954438602
452	6.954151769
453	6.953281923
454	6.952187627
455	6.95167918
456	6.950359771
457	6.949699574
458	6.949339066
459	6.947715686
460	6.9472497
461	6.946276024
462	6.945940627
463	6.945235332
464	6.94449186
465	6.944091169
466	6.94298395
467	6.942576712
468	6.942031169
469	6.941442986
470	6.940980631
471	6.940256102
472	6.939007524
473	6.938168149
474	6.937687665
475	6.937110319
476	6.936747627
477	6.93501852
478	6.934691542
479	6.934416566
480	6.932935215
481	6.932451829
482	6.931701234
483	6.93097488
484	6.930352563
485	6.929837269
486	6.929228445
487	6.928902175
488	6.928253146
489	6.92756413
490	6.926739684
491	6.926303568
492	6.925815659
493	6.924125322
494	6.923880546
495	6.923580871
496	6.9225818
497	6.921649986
498	6.920878654
499	6.92016966
500	6.919465465
501	6.919136493
502	6.91896709
503	6.918586396
504	6.918030834
505	6.91752877
506	6.916675272
507	6.916225189
508	6.915574475
509	6.914629287
510	6.914060766
511	6.913739488
512	6.913059876
513	6.911008978
514	6.910260307
515	6.909602998
516	6.909309137
517	6.908850649
518	6.908293778
519	6.907940299
520	6.907556132
521	6.906982172
522	6.906388763
523	6.904465032
524	6.903915287
525	6.90325121
526	6.902548793
527	6.901892665
528	6.901336357
529	6.900906553
530	6.900386798
531	6.899762335
532	6.89939636
533	6.899119079
534	6.898468396
535	6.898056832
536	6.896265637
537	6.895420219
538	6.894441173
539	6.893807552
540	6.893535025
541	6.892878379
542	6.892223247
543	6.891469874
544	6.890905294
545	6.890470121
546	6.889650824
547	6.888770542
548	6.888350864
549	6.887560192
550	6.887128614
551	6.886730965
552	6.88618455
553	6.885420854
554	6.884601377
555	6.884060119
556	6.883716279
557	6.882687538
558	6.882348259
559	6.881580695
560	6.880725327
561	6.880369886
562	6.879639386
563	6.878926691
564	6.87852364
565	6.878157527
566	6.877525306
567	6.87681249
568	6.876216702
569	6.875825595
570	6.875182506
571	6.874973852
572	6.874395957
573	6.87357273
574	6.873281281
575	6.872903332
576	6.872324307
577	6.871992142
578	6.871686747
579	6.871516695
580	6.870752767
581	6.869900002
582	6.869081539
583	6.868284312
584	6.867277385
585	6.86660148
586	6.86608232
587	6.865334676
588	6.864667499
589	6.864209247
590	6.863665982
591	6.863056724
592	6.862355088
593	6.861948409
594	6.861471854
595	6.860706991
596	6.860414814
597	6.860164645
598	6.85965445
599	6.859068687
600	6.858660015
601	6.858102451
602	6.857036268
603	6.856574181
604	6.855767398
605	6.855193805
606	6.854272421
607	6.853737118
608	6.853205766
609	6.852372631
610	6.851953746
611	6.851591006
612	6.851051478
613	6.850718157
614	6.850251752
615	6.849515389
616	6.849009313
617	6.848260978
618	6.847097382
619	6.846760108
620	6.846206057
621	6.845475171
622	6.844878099
623	6.844275781
624	6.843998963
625	6.843611588
626	6.8429396
627	6.842570577
628	6.842088856
629	6.841503095
630	6.84124856
631	6.840608612
632	6.840020364
633	6.839602886
634	6.839244758
635	6.838396288
636	6.838176857
637	6.837649267
638	6.837266814
639	6.836762854
640	6.83637142
641	6.83613582
642	6.835448273
643	6.834731055
644	6.83414069
645	6.833776142
646	6.83315983
647	6.832621436
648	6.832248633
649	6.831734904
650	6.831189986
651	6.830838292
652	6.830602379
653	6.830196921
654	6.829905453
655	6.82887145
656	6.82830413
657	6.827902939
658	6.827425623
659	6.826673237
660	6.826186375
661	6.825774167
662	6.825105472
663	6.824455117
664	6.823273989
665	6.822438756
666	6.821939721
667	6.821366607
668	6.820527133
669	6.819859453
670	6.819425363
671	6.819061155
672	6.818629441
673	6.817650232
674	6.817419214
675	6.817213623
676	6.816737846
677	6.816179209
678	6.815676561
679	6.815320678
680	6.815013096
681	6.814164265
682	6.813455598
683	6.812792964
684	6.811942713
685	6.81140244
686	6.810839034
687	6.80964092
688	6.809006754
689	6.808623675
690	6.808100449
691	6.807843678
692	6.807317256
693	6.80708923
694	6.805708373
695	6.805023428
696	6.804451828
697	6.803616304
698	6.802986102
699	6.802184572
700	6.801816023
701	6.801372616
702	6.80096594
703	6.800552189
704	6.799928711
705	6.799133408
706	6.798249522
707	6.797590809
708	6.796984748
709	6.796412159
710	6.795950759
711	6.795344878
712	6.794662278
713	6.794261903
714	6.793609996
715	6.792998962
716	6.79241319
717	6.791334639
718	6.79093596
719	6.790654117
720	6.790022349
721	6.789723946
722	6.789164407
723	6.788644093
724	6.788183592
725	6.787758765
726	6.787325818
727	6.786750265
728	6.786303806
729	6.785610169
730	6.785111774
731	6.784526558
732	6.78410735
733	6.783601382
734	6.783393114
735	6.782821689
736	6.782682327
737	6.782212104
738	6.780607928
739	6.780336597
740	6.779798142
741	6.77916068
742	6.778243676
743	6.777858236
744	6.777452936
745	6.776855574
746	6.776609497
747	6.776079671
748	6.775149602
749	6.774911419
750	6.774431519
751	6.773682719
752	6.773060793
753	6.772755742
754	6.772541009
755	6.771636646
756	6.771378972
757	6.770740034
758	6.769999588
759	6.76941804
760	6.768863081
761	6.76770331
762	6.766727867
763	6.766347461
764	6.765859519
765	6.76504733
766	6.764501298
767	6.764123618
768	6.763914066
769	6.763680054
770	6.76349341
771	6.762389676
772	6.76203823
773	6.761248809
774	6.760794947
775	6.760370099
776	6.759655307
777	6.758607859
778	6.757945878
779	6.757353309
780	6.756898667
781	6.756021465
782	6.755458368
783	6.754708714
784	6.753388441
785	6.752827621
786	6.752644604
787	6.751884351
788	6.751476307
789	6.751218547
790	6.750466803
791	6.749822001
792	6.749333712
793	6.748694496
794	6.748111876
795	6.747154474
796	6.745597657
797	6.745279396
798	6.744390379
799	6.743958464
800	6.743478274
801	6.74314152
802	6.742137919
803	6.741080785
804	6.740704196
805	6.739865168
806	6.739305282
807	6.738118015
808	6.737857665
809	6.737334685
810	6.736698687
811	6.73578584
812	6.735341486
813	6.734623644
814	6.733884425
815	6.733659903
816	6.733224644
817	6.732984909
818	6.732479793
819	6.731919241
820	6.731266522
821	6.730545679
822	6.730340436
823	6.730160589
824	6.729594088
825	6.728876043
826	6.728638725
827	6.728231106
828	6.727765315
829	6.727201647
830	6.726600125
831	6.725900872
832	6.725389324
833	6.725043542
834	6.724675126
835	6.724463252
836	6.724025966
837	6.723324192
838	6.722113179
839	6.721727608
840	6.720973497
841	6.720250334
842	6.720027588
843	6.719494298
844	6.718949401
845	6.717836164
846	6.717386148
847	6.717194089
848	6.716624964
849	6.715840201
850	6.715444786
851	6.714838706
852	6.71421902
853	6.71382014
854	6.713476795
855	6.71299048
856	6.712381407
857	6.712112319
858	6.711846271
859	6.711334181
860	6.710908452
861	6.710505042
862	6.709897647
863	6.709376887
864	6.708702313
865	6.708497298
866	6.707843151
867	6.707334706
868	6.707164581
869	6.706991451
870	6.706337101
871	6.7057068
872	6.70529424
873	6.704845982
874	6.704347653
875	6.703335571
876	6.702823814
877	6.702239079
878	6.701698315
879	6.701271382
880	6.700571409
881	6.700153246
882	6.699667855
883	6.698227049
884	6.697651698
885	6.69742485
886	6.696639568
887	6.696252822
888	6.695908267
889	6.695613663
890	6.695316366
891	6.694703571
892	6.69416128
893	6.693967677
894	6.69378181
895	6.692889169
896	6.692373131
897	6.691870339
898	6.691424025
899	6.69106375
900	6.689913612
901	6.689537513
902	6.688618262
903	6.688466182
904	6.688010079
905	6.687904102
906	6.687652983
907	6.686682437
908	6.686282898
909	6.686076699
910	6.685188306
911	6.685072247
912	6.684848748
913	6.683988182
914	6.683480275
915	6.683100522
916	6.682522686
917	6.682019648
918	6.681187477
919	6.680709569
920	6.68068017
921	6.679592994
922	6.679174303
923	6.678261268
924	6.677741806
925	6.677156627
926	6.676927051
927	6.676898517
928	6.676416863
929	6.676196685
930	6.675189723
931	6.674794897
932	6.674355582
933	6.673950046
934	6.672728126
935	6.672501435
936	6.671815697
937	6.671542201
938	6.671271653
939	6.670784197
940	6.670561013
941	6.669735498
942	6.669525334
943	6.669191652
944	6.668575973
945	6.668364787
946	6.667996785
947	6.667790264
948	6.667373534
949	6.666873078
950	6.666488357
951	6.665975557
952	6.665781433
953	6.665147285
954	6.664460812
955	6.663998987
956	6.663329809
957	6.661961431
958	6.661485815
959	6.661089001
960	6.660882278
961	6.660415962
962	6.659920317
963	6.659696657
964	6.65886552
965	6.658245848
966	6.657444375
967	6.657260496
968	6.656254726
969	6.656089552
970	6.655478597
971	6.654757631
972	6.654320241
973	6.653309052
974	6.652995005
975	6.652250838
976	6.651973809
977	6.651872286
978	6.651278678
979	6.650754911
980	6.650449681
981	6.649470347
982	6.649229596
983	6.648964437
984	6.648441787
985	6.64780535
986	6.647437056
987	6.646644046
988	6.646359577
989	6.645917227
990	6.645750136
991	6.645141131
992	6.644707055
993	6.644106283
994	6.643688742
995	6.643355001
996	6.643157993
997	6.642747621
998	6.642155697
999	6.641480992
