,#,Player,Pos,HT,WT,Age,Current Team,YOS,Pre-Draft Team,Draft Status,Nationality
387,25.0,Austin Rivers,SG,6-4,200.0,30,Minnesota Timberwolves,10,Duke,2012 Rnd 1 Pick 10,United States
394,4.0,Derrick Rose,PG,6-3,200.0,34,New York Knicks,14,Memphis,2008 Rnd 1 Pick 1,United States
395,8.0,Terrence Ross,SF,6-7,205.0,32,Phoenix Suns,10,Washington,2012 Rnd 1 Pick 8,United States
396,3.0,Terry Rozier,G,6-1,190.0,29,Charlotte Hornets,7,Louisville,2015 Rnd 1 Pick 16,United States
397,13.0,Ricky Rubio,G,6-3,190.0,32,Cleveland Cavaliers,11,Joventut Badalona (Spain),2009 Rnd 1 Pick 5,Spain
398,1.0,D'Angelo Russell,SG,6-4,193.0,27,Los Angeles Lakers,7,Ohio State,2015 Rnd 1 Pick 2,United States
400,10.0,Domantas Sabonis,PF,6-11,240.0,26,Sacramento Kings,6,Gonzaga,2016 Rnd 1 Pick 11,United StatesLithuania
402,9.0,Dario Saric,SF,6-10,250.0,28,Oklahoma City Thunder,6,KK Cibona (Croatia),2014 Rnd 1 Pick 12,Croatia
405,17.0,Dennis Schroder,PG,6-3,172.0,29,Los Angeles Lakers,9,Basketball Lowen Braunschweig (Germany),2013 Rnd 1 Pick 17,Germany
413,43.0,Pascal Siakam,F,6-8,240.0,28,Toronto Raptors,6,New Mexico State,2016 Rnd 1 Pick 27,Cameroon
414,10.0,Ben Simmons,PF,6-10,240.0,26,Brooklyn Nets,6,LSU,2016 Rnd 1 Pick 1,Australia
418,36.0,Marcus Smart,PG,6-3,220.0,29,Boston Celtics,8,Oklahoma State,2014 Rnd 1 Pick 6,United States
419,8.0,Dennis Smith,PG,6-2,205.0,25,Charlotte Hornets,5,NC State,2017 Rnd 1 Pick 9,United States
421,14.0,Ish Smith,PG,6-0,175.0,34,Denver Nuggets,12,Wake Forest,"2010 NBA Draft, Undrafted",United States
434,0.0,Jayson Tatum,SF,6-8,210.0,25,Boston Celtics,5,Duke,2017 Rnd 1 Pick 3,United States
436,41.0,Garrett Temple,G,6-5,195.0,36,New Orleans Pelicans,12,LSU,"2009 NBA Draft, Undrafted",United States
438,27.0,Daniel Theis,C,6-8,245.0,30,Indiana Pacers,5,Ratiopharm Ulm (Germany),"2013 NBA Draft, Undrafted",Germany
440,11.0,Klay Thompson,G,6-6,210.0,33,Golden State Warriors,11,Washington State,2011 Rnd 1 Pick 11,United States
447,32.0,Karl-Anthony Towns,C,7-0,250.0,27,Minnesota Timberwolves,7,Kentucky,2015 Rnd 1 Pick 1,United StatesDominican Republic
449,17.0,P.J. Tucker,SF,6-6,245.0,37,Philadelphia Sixers,11,Texas,2006 Rnd 2 Pick 5,United States
450,33.0,Myles Turner,FC,6-11,250.0,27,Indiana Pacers,7,Texas,2015 Rnd 1 Pick 11,United States
451,17.0,Jonas Valanciunas,C,7-0,265.0,30,New Orleans Pelicans,10,Lietuvos Rytas (Lithuania),2011 Rnd 1 Pick 5,Lithuania
452,23.0,Fred VanVleet,G,6-0,200.0,29,Toronto Raptors,6,Wichita State,"2016 NBA Draft, Undrafted",United States
456,9.0,Nikola Vucevic,PF,6-11,260.0,32,Chicago Bulls,11,USC,2011 Rnd 1 Pick 16,SwitzerlandMontenegro
463,21.0,T.J. Warren,F,6-8,222.0,29,Phoenix Suns,8,NC State,2014 Rnd 1 Pick 14,United States
472,0.0,Russell Westbrook,G,6-3,200.0,34,Los Angeles Clippers,14,UCLA,2008 Rnd 1 Pick 4,United States
474,9.0,Derrick White,G,6-4,195.0,28,Boston Celtics,5,Colorado,2017 Rnd 1 Pick 29,United States
478,22.0,Andrew Wiggins,F,6-7,203.0,28,Golden State Warriors,8,Kansas,2014 Rnd 1 Pick 1,Canada
492,26.0,Justise Winslow,SF,6-6,222.0,27,Portland Trail Blazers,7,Duke,2015 Rnd 1 Pick 10,United States
494,35.0,Christian Wood,PF,6-10,223.0,27,Dallas Mavericks,6,UNLV,"2015 NBA Draft, Undrafted",United States
496,55.0,Delon Wright,G,6-5,185.0,30,Washington Wizards,7,Utah,2015 Rnd 1 Pick 20,United States
497,21.0,Thaddeus Young,F,6-8,235.0,34,Toronto Raptors,15,Georgia Tech,2007 Rnd 1 Pick 12,United States
500,44.0,Cody Zeller,F,6-11,240.0,30,Miami Heat,9,Indiana,2013 Rnd 1 Pick 4,United States
