id,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0i08LLgnQSCIVAXdKztzZ8,0.0336,0.461,212467,0.84,0.0,0.207,-4.059,0.0317,84.008,0.443
1YcOjtjiwwiwlrzmeueQ45,0.0158,0.804,170213,0.57,2.8300000000000014e-05,0.14,-4.691,0.0343,104.999,0.8029999999999999
4GRFzKI7jTZ3kbMfouc7bn,0.0666,0.6,186840,0.939,6.18e-06,0.34,-1.794,0.19,159.941,0.833
1u8fjvKyDliY5IXuJxDccK,0.0995,0.8759999999999999,199427,0.727,3.45e-05,0.113,-4.106,0.069,140.19,0.938
2fzp6ojPHvZaz4uHXxpJVk,0.00999,0.421,187558,0.885,4.59e-06,0.255,-6.009,0.0504,151.88299999999995,0.584
2kxwahjnNGkqBWgHs8pHdk,0.000219,0.5760000000000001,228720,0.956,2.31e-06,0.106,-3.53,0.0498,144.113,0.706
5xIEuJaUD6DEazs4Fu63vZ,3.48e-05,0.368,172920,0.889,0.000295,0.282,-4.578,0.0639,91.751,0.324
72CPoBQn1XmRhJXS1Vy7O2,0.0725,0.902,157438,0.805,0.0819999999999999,0.0916,-5.005,0.0464,124.996,0.737
7aP6GXrxvq0836pzL4kHK8,0.0128,0.7959999999999999,319240,0.588,0.0,0.099,-7.9860000000000015,0.041,125.289,0.6679999999999999
0Mm0pCGU86zfCp3LF2qsfj,0.248,0.5660000000000001,201900,0.6809999999999999,0.0,0.134,-5.146,0.0469,153.993,0.728
4ksxLnn1ymLGRKnwhba45Y,0.996,0.5,327080,0.0104,0.949,0.0573,-26.764,0.0622,114.76,0.133
08DBDmvEgY2ZTVMVH2A8lt,0.451,0.5429999999999999,205480,0.509,0.7340000000000001,0.112,-14.745,0.0418,99.974,0.0694
4Y2glvLjQGOb4dXnwm1hQf,2.84e-05,0.42,252787,0.969,0.00861,0.379,-3.139,0.0581,174.03799999999995,0.182
4fo7zZTzAJd66iUxDQ5xUD,0.000134,0.42,271416,0.952,0.0109,0.12,-6.839,0.0577,132.987,0.626
5PjC8plTyOm10VPjZ2qMyQ,0.609,0.503,210547,0.5920000000000001,0.0,0.136,-4.849,0.032,124.683,0.201
47NGN2PkaBo0ap4XF5LbJ2,0.00594,0.401,208187,0.698,0.0819999999999999,0.077,-5.0,0.0376,143.421,0.321
707ayNK8mQkl7VcsyEWMh4,0.18,0.598,132413,0.777,0.0,0.285,-6.751,0.0321,156.053,0.873
3kfgJql90tzgoxByioAMXR,0.186,0.552,302253,0.608,0.0,0.125,-5.29,0.0259,134.05,0.17
6oMuxrR8Aq74QG872Pd37Z,0.69,0.298,391107,0.447,0.0,0.687,-8.499,0.135,75.041,0.205
5dYtFh2WwVzwMwtuwU7ggc,0.539,0.6,157280,0.5,0.000389,0.0817,-6.706,0.0261,109.988,0.391
3SOUAgD70B82lpBVjgVGn9,1.39e-05,0.354,194307,0.894,0.00141,0.159,-5.964,0.0962,152.025,0.293
7hZuICN5eaCuQyp443RCt6,0.166,0.589,403920,0.47,1.45e-06,0.112,-5.32,0.028,119.386,0.102
5S0pF13mOsTnYweFwFy4D0,0.846,0.339,308440,0.184,2.71e-06,0.109,-8.624,0.0289,76.053,0.0989
0euhtxv2yxdJIx5kZfGOln,0.564,0.667,228587,0.503,0.0,0.1639999999999999,-6.3020000000000005,0.101,109.937,0.97
4Xf7EL8G6FRYwvJADl0nf4,0.0778,0.7979999999999999,210600,0.627,0.0,0.0472,-8.086,0.0602,113.029,0.84
4K4ndQgEpnLBQGR2aqZc1P,0.768,0.747,187053,0.317,0.0,0.105,-9.927,0.0398,124.029,0.459
3myI1o0izYfh2z9JTQzCfJ,0.00631,0.5429999999999999,275387,0.73,0.0,0.213,-6.086,0.0384,150.187,0.267
4VxfOVVm5Mnp9JapxZakE3,0.000154,0.467,242720,0.828,0.00971,0.0943,-6.7920000000000025,0.0566,155.134,0.338
1U5KLauD740gADxs1pAEyh,0.0173,0.581,253729,0.861,7.85e-05,0.175,-4.992,0.0334,124.992,0.45
2PLLTB5IgPTEBfOkgFOa65,0.219,0.611,198533,0.607,0.0,0.0507,-7.757999999999999,0.1369999999999999,195.073,0.858
5M9kio8FEFiNKyTDGqksy2,4.25e-06,0.41,211720,0.959,2.03e-06,0.359,-4.88,0.0823,165.03799999999995,0.523
17RkpFRsRKCNSX7WfxX2qi,0.0196,0.743,198452,0.6990000000000001,0.73,0.254,-6.438,0.147,95.001,0.7040000000000001
3PfeAZbfD134dO6OiLDA2Y,0.0444,0.461,237987,0.748,0.0,0.125,-6.122000000000001,0.033,180.063,0.115
4c15DmbPf9g3HNPipLBBu0,0.5429999999999999,0.604,229213,0.406,0.000545,0.0932,-10.016,0.0306,139.89700000000002,0.474
53lQywP7h2KlnfPAbwxWD9,7.46e-05,0.41,268427,0.912,0.145,0.423,-2.795,0.0334,155.031,0.289
0wpbWr0vI9mIV6WpO5CqPi,0.127,0.7240000000000001,196147,0.951,0.0,0.307,-4.294,0.226,103.988,0.593
6EZMZ5LIMiZZeSFcxU97xT,0.995,0.399,135253,0.00402,0.955,0.103,-37.809,0.0404,67.194,0.149
3l9eeEd5NABrvYRzXIVqwK,5.34e-05,0.43,188120,0.6609999999999999,0.0063,0.135,-3.43,0.0434,160.032,0.386
4kPxQjl9d12EtbhYte5e3j,0.338,0.706,221360,0.8420000000000001,0.0,0.357,-4.474,0.078,133.998,0.7979999999999999
4huNEMIQ6nwtAp3xn7sb3e,0.269,0.845,304170,0.459,3.95e-06,0.146,-10.699000000000002,0.121,148.015,0.735
7Ihl2uNgZmwaOyp9KRHGsA,0.1689999999999999,0.564,183707,0.8059999999999999,0.0,0.0663,-8.227,0.063,176.405,0.633
1so85Or3C7J0sBnBOucVBA,0.0153,0.637,192667,0.706,1.99e-06,0.1669999999999999,-9.445,0.0349,121.105,0.858
4eYmH4Sh0ibdU9nmnbu7aM,0.0972,0.774,203667,0.8170000000000001,2.13e-06,0.143,-3.076,0.0338,93.011,0.8340000000000001
58KurxTN6RxBh54EXMJ2R1,0.914,0.504,186333,0.8079999999999999,7.67e-06,0.642,-11.967,0.944,75.84899999999998,0.396
2XZt5ACXfEiF9QyxMnwaIr,0.504,0.47,236280,0.527,0.0,0.333,-5.6770000000000005,0.0427,123.091,0.43
73KNzyiG6xM6xguaLe4ICj,0.513,0.419,233960,0.473,3.52e-06,0.133,-8.192,0.0288,138.013,0.324
4bZi0vF5fPvB2g8JiWDARW,0.821,0.321,276173,0.231,3.78e-05,0.101,-12.29,0.0376,179.71099999999996,0.149
5bDEA48Dxyxoc3K4Dt7yRE,0.00879,0.758,227960,0.654,0.0258,0.0797,-7.097,0.116,151.00799999999995,0.949
32BNHfgpllA7lHnALwD3bE,0.409,0.475,279307,0.882,0.0,0.243,-3.883,0.351,98.0,0.369
