"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"517","Justin Champagnie","Tor","G-F","21.7","3","3.6","11.7","0","0","0","3","1","0","0","1","1","2","1.3","0.3","0","0","0","3.3","2.3","3.7","10.2","",""
"518","A.J. Lawson","Min","G","22.7","1","1.8","23.7","0","0","0","1","1","0","0","1","1","2","1","0","0","0","0","3","2","3","0","",""
"519","Garrison Mathews","Atl","G","26.4","5","7.5","12.6","0","3","0.667","3","0.333","7","0.286","0.4","0.442","2","1.4","0.2","0","0","0","3.4","2.2","3.6","4.4","99.9","114.5"
"520","Markieff Morris","Dal","F","33.6","5","4.8","18.9","30","0","0","2","1","5","0.4","0.714","0.714","2","0.6","0.2","0.2","0","0.6","2.6","2.2","2.8","5.2","91.8","95.7"
"521","Chris Silva","Dal","F","26.5","1","3","30.2","50","0","0","1","1","0","0","1","1","2","0","0","0","0","1","2","2","2","0","",""
"522","Terry Taylor","Chi","G","23.5","2","2.9","15.5","0","0","0","2","1","0","0","1","1","2","0","0","0","0","0","2","2","2","0","",""
"523","Stanley Umude","Det","G","24","1","2.1","38","0","2","1","0","0","1","0","0","0.532","2","0","0","1","1","0","2","2","2","0","",""
"524","Lindell Wigginton","Mil","G","25","4","4.3","29.1","17.5","2","1","5","0.6","4","0","0.333","0.405","2","0.3","0.3","0","0","0.5","2.3","2.3","2.5","5.3","75.2","111.8"
"525","Jared Rhoden","Det","G","23.6","8","9.3","10.8","5.4","2","1","9","0.556","8","0.125","0.382","0.419","1.9","2","0.3","0.3","0","0.1","3.9","2.1","4.1","4.5","108.9","109.8"
"526","Ryan Rollins","Gol","G","20.7","12","5.2","26.1","43.9","6","1","11","0.364","9","0.333","0.425","0.508","1.9","1","0.5","0.1","0.1","1.3","2.9","2.4","3.4","7.6","70.1","102.2"
"527","Greg Brown III","Por","F","21.6","16","5.8","18.4","17.6","12","0.417","21","0.476","7","0.143","0.411","0.421","1.8","1.2","0.2","0.3","0.3","0.4","2.9","1.9","3.1","5.2","79.2","103.8"
"528","Trevor Hudgins","Hou","G","24","5","5.7","16.6","9.6","3","1","1","0","8","0.25","0.333","0.436","1.8","0","0.6","0","0","0.2","1.8","2.4","2.4","0","102.6","124.8"
"529","Quenton Jackson","Was","G","24.5","4","2.9","22.8","0","0","0","3","0.667","3","0.333","0.583","0.583","1.8","0.3","0.3","0.3","0","0","2","2","2.3","7.5","",""
"530","Alize Johnson","San","F","26.9","4","7.4","15.3","39.1","2","0.5","4","0.75","2","0","0.5","0.509","1.8","2.5","0.3","0.3","0","1","4.3","2","4.5","6","74","108.8"
"531","Theo Pinson","Dal","G-F","27.4","36","6.8","13.9","12.8","11","0.818","17","0.294","44","0.341","0.451","0.486","1.8","1.2","0.8","0.1","0","0.3","2.9","2.6","3.8","7.1","110.5","109.2"
"532","Jaden Springer","Phi","G","20.5","12","3.6","22.6","4.9","4","0.75","17","0.529","2","0","0.474","0.506","1.8","0.8","0.3","0.4","0.2","0.1","2.6","2.1","2.9","8.4","",""
"533","Dalen Terry","Chi","F","20.7","30","5.6","15.2","11.3","11","0.455","29","0.552","18","0.333","0.532","0.53","1.8","0.9","0.6","0.1","0.1","0.2","2.7","2.5","3.3","7.1","114.6","106.6"
"534","Joe Wieskamp","Tor","G-F","23.6","5","5.9","12.9","11.1","0","0","1","0","7","0.429","0.563","0.563","1.8","0.4","0.2","0","0","0.2","2.2","2","2.4","3.6","105.5","115"
"535","Omer Yurtseven","Mia","C","24.8","5","6.8","12.9","10.8","2","0.5","7","0.571","1","0","0.5","0.507","1.8","1.6","0","0.2","0.2","0.2","3.4","1.8","3.4","0","110.9","96.5"
"536","Mamadi Diakite","Cle","F","26.2","18","6.7","15.3","19.5","0","0","18","0.5","15","0.267","0.455","0.455","1.7","1","0.2","0.1","0.4","0.4","2.7","1.9","2.9","4.2","83.9","98.7"
"537","Keon Ellis","Sac","G","23.2","13","3.9","13.1","7","3","0.667","3","0.333","10","0.6","0.769","0.768","1.7","0.6","0.3","0.2","0.1","0.1","2.3","2","2.6","6.9","",""
"538","Tony Bradley","Chi","C-F","25.2","12","2.8","19.5","7.4","4","1","7","0.429","5","0.6","0.625","0.69","1.6","0.9","0.1","0.1","0.1","0.1","2.5","1.7","2.6","7.5","",""
"539","Svi Mykhailiuk","Nyk","G-F","25.8","13","3.1","17.4","14","5","0.6","2","0","10","0.6","0.75","0.739","1.6","0.5","0.1","0.1","0","0.2","2.2","1.7","2.2","5.6","",""
"540","Kendall Brown","Ind","G","19.9","6","6.7","10.3","21.7","2","0.5","6","0.667","1","0","0.571","0.571","1.5","1","0.5","0.7","0","0.3","2.5","2","3","5.4","109.3","94.6"
"541","Carlik Jones","Chi","G","25.3","2","11.4","15","16.4","4","0.25","4","0.25","1","0","0.2","0.222","1.5","1.5","1","0","0","0.5","3","2.5","4","4.6","63.3","114.9"
"542","Trevor Keels","Nyk","G","19.6","2","2","33","0","0","0","0","0","3","0.333","0.5","0.5","1.5","1","0","0","0","0","2.5","1.5","2.5","0","",""
"543","Wendell Moore Jr.","Min","G","21.5","27","5.5","15","15.9","5","0.8","25","0.6","17","0.118","0.429","0.452","1.5","0.6","0.7","0.3","0.2","0.3","2.1","2.1","2.8","6.2","95.5","109.2"
"544","Jordan Schakel","Was","G","24.8","2","3.1","14.1","0","0","0","1","0","1","1","0.75","0.75","1.5","0","0.5","0.5","0","0","1.5","2","2","0","",""
"545","Cole Swider","Lal","F","23.9","6","6.7","9.5","0","0","0","1","0","8","0.375","0.5","0.5","1.5","1.2","0.7","0","0","0","2.7","2.2","3.3","6.4","124.3","110.1"
"546","Peyton Watson","Den","G","20.5","15","3.2","20","9.5","2","0","15","0.533","4","0.5","0.579","0.553","1.5","0.5","0.1","0","0.1","0.1","2","1.6","2.1","5.3","",""
"547","Matthew Dellavedova","Sac","G","32.5","30","6.3","13.3","18.1","7","0.571","21","0.333","24","0.333","0.422","0.437","1.4","0.4","1.3","0.2","0","0.3","1.8","2.7","3","5.7","102.6","111.7"
"548","Facundo Campazzo","Dal","G","32","8","6.5","14.6","18.5","2","0.5","2","0","11","0.273","0.346","0.36","1.3","0.3","1.1","0.8","0","0.4","1.5","2.4","2.6","4.6","86.5","110.3"
"549","Frank Kaminsky","Hou","F-C","30","7","5.1","14.9","0","4","1","4","0.25","7","0.143","0.227","0.353","1.3","1.3","1","0.1","0.3","0","2.6","2.3","3.6","9.3","110.8","117.4"
"550","Braxton Key","Det","F","26.1","3","3","8.8","0","2","1","1","1","0","0","1","1.064","1.3","0.3","0","0","0","0","1.7","1.3","1.7","0","",""
"551","Vit Krejci","Atl","G","22.8","24","5.3","11.9","11.4","2","0.5","13","0.615","18","0.278","0.5","0.502","1.3","0.7","0.5","0.1","0","0.2","2","1.8","2.5","5.8","107.7","111"
"552","KZ Okpala","Sac","F-G","23.9","35","7.1","8.4","15.4","8","0.875","17","0.529","21","0.333","0.513","0.554","1.3","1","0.4","0.2","0.2","0.2","2.3","1.7","2.7","4.5","113.2","103.5"
"553","Tyrese Martin","Atl","G","24","13","3.5","16.6","5.7","2","1","11","0.455","5","0.2","0.406","0.444","1.2","0.5","0","0.1","0","0.1","1.6","1.2","1.6","0","",""
"554","Isaiah Mobley","Cle","F","23.5","9","3.4","14.8","0","0","0","7","0.571","3","0.333","0.55","0.55","1.2","1.3","0","0.1","0.1","0","2.6","1.2","2.6","0","",""
"555","Davon Reed","Lal","G","27.8","5","4.2","9.6","0","4","0.25","1","1","2","0.5","0.833","0.63","1.2","0.6","0.4","0.2","0","0","1.8","1.6","2.2","6.3","140.9","101.9"
"556","Jack White","Den","F","25.6","16","3.2","15.7","5.8","3","0.667","8","0.5","8","0.375","0.531","0.548","1.2","0.6","0.2","0.1","0.1","0.1","1.8","1.4","1.9","6.6","",""
"557","Kessler Edwards","Bro","F","22.6","14","5.7","16.1","14.2","2","0.5","12","0.333","12","0.167","0.292","0.301","1.1","1","0.1","0.2","0.1","0.3","2.1","1.2","2.2","3.4","71.9","115.6"
"558","Noah Vonleh","Bos","F","27.6","23","7.5","9.1","31","2","1","20","0.5","4","0.25","0.479","0.502","1.1","2.1","0.3","0.1","0.3","0.5","3.2","1.4","3.5","4.7","102.8","93.2"
"559","Bruno Fernando","Atl","F-C","24.6","4","2.6","24.3","33.3","0","0","4","0.5","0","0","0.5","0.5","1","0.5","0.3","0","0","0.5","1.5","1.3","1.8","8.2","",""
"560","Malcolm Hill","Chi","F","27.4","5","1.8","19.4","0","0","0","1","1","3","0.333","0.625","0.625","1","0.6","0","0","0","0","1.6","1","1.6","0","",""
"561","Mfiondu Kabengele","Bos","F-C","25.6","2","7","9.4","33.3","0","0","1","1","1","0","0.5","0.5","1","2.5","0","0","0","0.5","3.5","1","3.5","0","113.8","93.7"
"562","Sam Merrill","Cle","G","26.9","2","4.2","16","0","0","0","1","1","2","0","0.333","0.333","1","0","0","0","0","0","1","1","1","0","71.2","106.5"
"563","Chima Moneke","Sac","F","27.3","2","4","26.6","50","2","0","2","0.5","0","0","0.5","0.347","1","1","0.5","0","0","1","2","1.5","2.5","7.9","73.7","97.8"
"564","Nerlens Noel","Bro","C-F","29","3","14.4","12.2","44.6","2","0.5","6","0.167","0","0","0.167","0.218","1","3","1","1","0.3","1.7","4","2","5","4","57.2","98.4"
"565","Justin Jackson","Bos","F","28","23","4.7","12.2","6.8","2","0.5","7","0.286","20","0.25","0.352","0.359","0.9","0.7","0.4","0.2","0.2","0.1","1.6","1.3","2","5.4","89.6","107.7"
"566","Vince Williams Jr.","Mem","G","22.6","11","4.7","12","6.7","0","0","4","0.5","10","0.2","0.357","0.357","0.9","0.6","0.3","0.4","0.1","0.1","1.5","1.2","1.8","4.6","89","101.4"
"567","Dereon Seabron","Nor","G","22.8","5","2.3","18.5","0","0","0","5","0.4","0","0","0.4","0.4","0.8","0.2","0","0","0","0","1","0.8","1","0","",""
"568","Thanasis Antetokounmpo","Mil","F","30.7","29","4.3","13.1","28.4","8","0.5","20","0.4","5","0","0.32","0.351","0.7","1","0.2","0.1","0.1","0.3","1.7","0.9","1.9","4.8","75.1","101.3"
"569","JD Davison","Bos","G","20.5","9","2.3","25.4","8.3","0","0","8","0.375","3","0","0.273","0.273","0.7","0.6","0.4","0.2","0","0.1","1.2","1.1","1.7","9.6","",""
"570","PJ Dozier","Sac","G-F","26.4","10","2.4","22","16.7","0","0","5","0.4","5","0.2","0.35","0.35","0.7","0.6","0","0.3","0.1","0.2","1.3","0.7","1.3","0","",""
"571","Alex Len","Sac","C","29.8","18","3.2","17","42.2","4","0.75","10","0.5","2","0","0.417","0.472","0.7","0.9","0.3","0","0","0.5","1.7","1.1","2","7.2","",""
"572","Vernon Carey Jr.","Was","F-C","22.1","11","2.6","16.7","19.2","2","1","8","0.25","0","0","0.25","0.338","0.5","1","0.3","0.2","0.2","0.2","1.5","0.8","1.8","8.2","",""
"573","Devon Dotson","Was","G","23.6","6","8.9","9.9","25","0","0","6","0","3","0.333","0.167","0.167","0.5","1.7","1.3","0.8","0","0.5","2.2","1.8","3.5","4.6","86.5","98.4"
"574","Udonis Haslem","Mia","F","42.8","6","7.6","12.5","0","2","0.5","10","0.1","2","0","0.083","0.116","0.5","1.3","0","0.2","0.2","0","1.8","0.5","1.8","0","51.2","98"
"575","Isaiah Todd","Was","F","21.4","4","3.2","13.9","0","0","0","1","1","3","0","0.25","0.25","0.5","0","0","0","0","0","0.5","0.5","0.5","0","",""
"576","Leandro Bolmaro","Uta","F","22.5","14","4.9","15.9","26.9","0","0","15","0.2","4","0","0.158","0.158","0.4","0.5","0.5","0.1","0.1","0.5","0.9","0.9","1.4","3.8","51.2","107.2"
"577","Ryan Arcidiacono","Nyk","G","29","11","2.4","9.8","16.7","0","0","2","0","3","0.333","0.3","0.3","0.3","0.4","0.2","0.2","0","0.1","0.6","0.5","0.8","4.8","",""
"578","John Butler Jr.","Por","F","20.3","11","3.6","5.5","0","0","0","1","1","4","0","0.2","0.2","0.2","0.3","0.1","0.1","0.4","0","0.5","0.3","0.5","2","",""
"579","Sterling Brown","Lal","G-F","28.1","4","6.1","6.9","0","0","0","2","0","2","0","0","0","0","2","0.5","0.8","0","0","2","0.5","2.5","0","76.7","92.5"
"580","Deonte Burton","Sac","G-F","29.1","2","3.3","13.2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"581","Julian Champagnie","Phi","F","21.7","2","3.4","13.3","0","0","0","1","0","1","0","0","0","0","0","0","0.5","0","0","0","0","0","0","",""
"582","Michael Foster Jr.","Phi","F","20.2","1","1","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"583","Frank Jackson","Uta","G","24.9","1","5.1","24.6","0","0","0","2","0","1","0","0","0","0","2","1","0","0","0","2","1","3","0","48.3","120.2"
"584","Marko Simonovic","Chi","C","23.4","3","1.5","9.6","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"585","Alondes Williams","Bro","G","23.8","1","5.3","16.8","100","0","0","0","0","0","0","","","0","1","0","0","0","2","1","0","1","0","","97.9"
"586","Jamaree Bouyea","Was","G","23.7","1","5.5","7.9","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","99.7"
"587","Xavier Cooks","Was","G","27.6","2","4.6","4.8","100","0","0","0","0","0","0","","","0","1.5","0","0","0","0.5","1.5","0","1.5","0","","121.8"
