"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"426","Dyson Daniels","Nor","G","20","51","18.5","11.5","22.4","37","0.622","107","0.505","76","0.289","0.475","0.494","3.9","3.3","2.4","0.8","0.2","1","7.1","6.3","9.5","6.8","102.7","104.9"
"427","Aaron Holiday","Atl","G","26.5","56","13.7","13.2","13.6","28","0.857","121","0.43","76","0.408","0.5","0.528","3.9","1.2","1.4","0.6","0.2","0.6","5.2","5.3","6.6","5.5","110.1","110.8"
"428","Jordan McLaughlin","Min","G","27","36","15.9","12.2","17.8","14","0.786","61","0.607","68","0.265","0.496","0.514","3.9","1.5","3.3","0.9","0.1","0.8","5.4","7.1","8.6","6.7","115.8","115.6"
"429","Orlando Robinson","Mia","C","22.7","29","13.7","12.7","14.8","29","0.724","81","0.568","5","0","0.535","0.572","3.9","4.1","0.7","0.4","0.4","0.5","8","4.6","8.7","6.5","122.9","99.9"
"430","Matt Ryan","Lal","F","25.9","12","10.8","17.7","5.7","5","0.8","14","0.143","35","0.371","0.439","0.459","3.9","1.2","0.3","0.2","0","0.3","5.1","4.3","5.4","4.1","94.7","107.3"
"431","Bismack Biyombo","Pho","C","30.6","53","13.8","13.5","23.2","59","0.288","159","0.572","0","0","0.572","0.538","3.8","4","0.9","0.3","1.3","0.9","7.7","4.7","8.7","6.9","102.5","101.5"
"432","Jamaree Bouyea","Mia","G","23.7","4","16.3","12.2","23.2","2","0.5","8","0.5","5","0.4","0.538","0.54","3.8","1.3","1","1","0.5","1","5","4.8","6","4.2","93.1","107.2"
"433","Darius Days","Hou","F","23.4","4","6.3","21.4","0","2","1","2","1","10","0.3","0.542","0.582","3.8","1.5","0.3","0","0.3","0","5.3","4","5.5","7.6","131.2","114.1"
"434","Luke Kornet","Bos","F-C","27.7","61","11.5","11.4","14.3","37","0.811","133","0.714","10","0.3","0.696","0.719","3.8","2.8","0.7","0.2","0.7","0.4","6.6","4.4","7.3","6.8","145.9","104.8"
"435","Bryce McGowens","Cha","G","20.4","39","15","13","16.2","48","0.792","82","0.402","52","0.288","0.414","0.48","3.8","1.7","0.9","0.3","0.2","0.7","5.5","4.7","6.4","4.8","97.2","115.2"
"436","Caleb Houstan","Orl","G","20.2","44","15.3","10.6","9.4","13","0.846","40","0.45","104","0.365","0.521","0.538","3.7","2.1","0.5","0.2","0.1","0.3","5.8","4.1","6.2","4.1","112.7","110.2"
"437","Nathan Knight","Min","F-C","25.5","36","7.9","18.2","19.5","55","0.691","56","0.643","22","0.364","0.615","0.656","3.7","1.5","0.4","0.3","0.2","0.5","5.2","4.1","5.6","6.6","120.8","105.1"
